year_group,ks_level,topic_strand,sub_strand,statement
3,2,Geometry,Measurement,"estimate and read time with increasing accuracy to the nearest minute; record and compare time in terms of seconds, minutes and hours; use vocabulary such as o’clock, am/pm, morning, afternoon, noon and midnight"
3,2,Geometry,Measurement,"know the number of seconds in a minute and the number of days in each month, year and leap year"
3,2,Geometry,Measurement,compare durations of events
3,2,Geometry,properties of shapes,draw 2-D shapes and make 3-D shapes using modelling materials; recognise 3-D shapes in different orientations and describe them
3,2,Geometry,properties of shapes,recognise angles as a property of shape or a description of a turn
3,2,Geometry,properties of shapes,"identify right angles, recognise that 2 right angles make a half-turn, 3 make three-quarters of a turn and 4 a complete turn; identify whether angles are greater than or less than a right angle"
3,2,Geometry,properties of shapes,identify horizontal and vertical lines and pairs of perpendicular and parallel lines
3,2,Statistics,Statistics,"interpret and present data using bar charts, pictograms and tables"
3,2,Statistics,Statistics,solve one-step and two-step questions using information presented in scaled bar charts and pictograms and tables
4,2,Number,number and place value,"count in multiples of 6, 7, 9, 25 and 1,000"
4,2,Number,number and place value,"find 1,000 more or less than a given number"
4,2,Number,number and place value,count backwards through 0 to include negative numbers
4,2,Number,number and place value,"recognise the place value of each digit in a four-digit number (1,000s, 100s, 10s, and 1s)"
4,2,Number,number and place value,"order and compare numbers beyond 1,000"
4,2,Number,number and place value,"identify, represent and estimate numbers using different representations"
4,2,Number,number and place value,"round any number to the nearest 10, 100 or 1,000"
4,2,Number,number and place value,solve number and practical problems that involve all of the above and with increasingly large positive numbers
4,2,Number,number and place value,"read Roman numerals to 100 (I to C) and know that over time, the numeral system changed to include the concept of 0 and place value"
4,2,Number,addition and subtraction,add and subtract numbers with up to 4 digits using the formal written methods of columnar addition and subtraction where appropriate
4,2,Number,addition and subtraction,estimate and use inverse operations to check answers to a calculation
4,2,Number,addition and subtraction,"solve addition and subtraction two-step problems in contexts, deciding which operations and methods to use and why"
4,2,Number,multiplication and division,recall multiplication and division facts for multiplication tables up to 12 × 12
4,2,Number,multiplication and division,"use place value, known and derived facts to multiply and divide mentally, including: multiplying by 0 and 1; dividing by 1; multiplying together 3 numbers"
4,2,Number,multiplication and division,recognise and use factor pairs and commutativity in mental calculations
4,2,Number,multiplication and division,multiply two-digit and three-digit numbers by a one-digit number using formal written layout
4,2,Number,multiplication and division,"solve problems involving multiplying and adding, including using the distributive law to multiply two-digit numbers by 1 digit, integer scaling problems and harder correspondence problems such as n objects are connected to m objects"
4,2,Number,fractions,"recognise and show, using diagrams, families of common equivalent fractions"
4,2,Number,fractions,count up and down in hundredths; recognise that hundredths arise when dividing an object by 100 and dividing tenths by 10
4,2,Number,fractions,"solve problems involving increasingly harder fractions to calculate quantities, and fractions to divide quantities, including non-unit fractions where the answer is a whole number"
4,2,Number,fractions,add and subtract fractions with the same denominator
4,2,Number,fractions,recognise and write decimal equivalents of any number of tenths or hundreds
4,2,Number,fractions,"recognise and write decimal equivalents to [Fraction:1/4], [Fraction:1/2], [Fraction:3/4]"
